_id,userId,description,picturePath,userPicturePath,likes,comments,tags,createdAt,updatedAt,__v,videoPath,groupId
64dc7749f42bbd9057cb21a8,64db5283d998906b6c2ca48a,he had no idea..,image/dalqpd1mfikktr4z6vew,image/nopixg3htlwjtbmi50mw,"{'64db5283d998906b6c2ca48a': True, '64dc78a1f42bbd9057cb221b': True, '64dc7a24f42bbd9057cb2293': True, '64dc8365f42bbd9057cb2498': True, '64dc183aae207fe84292b040': True, '64dcba05f42bbd9057cb295b': True, '64dcc36cf42bbd9057cb2a93': True, '64dce011f42bbd9057cb2ec3': True, '64dcf3bff42bbd9057cb32c5': True, '64dc41edae207fe84292c451': True, '64dd35e9f5554054a3467c49': True, '64dd512ef5554054a346807c': True, '64deb1c662f43d93943b874f': True, '64deb2b262f43d93943b87c8': True, '64dc1355ae207fe84292afb7': True, '64e0106362f43d93943c0bd7': True, '64e0123662f43d93943c0c36': True, '64deb84562f43d93943b8946': True, '64e14ee862f43d93943c39ff': True, '64e55d1f87e73ebaa7086e51': True, '64f4724217cb4912c115ebb0': True, '64f851f617cb4912c11624bd': True, '650865a481f1d375413b63f1': True, '65089c7f81f1d375413b9ca0': True, '6509019181f1d375413ca8fb': True, '65109d8181f1d3754148ab10': True, '651632694aba5b2bd4fd1813': True, '6515f7c34aba5b2bd4fcb6be': True, '65199206e81df403dee97999': True, '6516d2894aba5b2bd4fde4af': True, '651c48aa2f19866f09e2ff89': True, '65219da20c835470e9a31258': True, '652f098c0de3e77117defac5': True, '653540850a69ece40ff70b0d': True, '65387a310a69ece40ff7770c': True, '653dc0ed3e06c4b204e565f1': True, '654044d5318aa113d74a8f6c': True, '654b1009318aa113d74ae482': True}","[{'text': 'Im dead', 'userId': '64dc8365f42bbd9057cb2498', 'picturePath': 'image/gnkmzju7qnooepckveok', 'name': 'Nine Ten', 'location': 'Strawhatnine'}, {'text': 'so is he lol', 'userId': '64db5283d998906b6c2ca48a', 'picturePath': 'image/nopixg3htlwjtbmi50mw', 'name': 'jake jake', 'location': 'jake'}, {'text': '💀', 'userId': '64dce011f42bbd9057cb2ec3', 'picturePath': 'image/sdvlasmpnprlakkrmdwu', 'name': 'Izaiah Muniz', 'location': 'Spicy_meetaball'}, {'text': '""took the fam out today""', 'userId': '64dc41edae207fe84292c451', 'picturePath': 'default_pfp.png', 'name': 'Ed Wardo', 'location': 'Wardo'}, {'text': 'soooo', 'userId': '64dbeb81d998906b6c2ca5be', 'picturePath': 'image/bebixxoosedxxk6uojqw', 'name': 'asad asad', 'location': 'asad'}, {'text': 'Dawg in a casket', 'userId': '64ddb8a23713e916864947eb', 'picturePath': 'image/n6kbdmglz1acb5bmxjan', 'name': 'Kam Taylor', 'location': 'Kamada Yamada'}, {'text': 'heyyyyy', 'userId': '64dbeb81d998906b6c2ca5be', 'picturePath': 'image/abkcvkvthnfjt6m2xw04', 'name': 'asad asad', 'location': 'asad'}, {'text': 'hey', 'userId': '64dbeb81d998906b6c2ca5be', 'picturePath': 'image/abkcvkvthnfjt6m2xw04', 'name': 'asad asad', 'location': 'asad'}, {'text': 'NAHH', 'userId': '65089c7f81f1d375413b9ca0', 'picturePath': 'default_pfp.png', 'name': 'buu bop', 'location': 'BuuBop'}, {'text': 'bro i’m dead ', 'userId': '650865a481f1d375413b63f1', 'picturePath': 'default_pfp.png', 'name': 'Kneecapss goofy', 'location': 'Kneecapss'}, {'text': 'And neither do I ', 'userId': '6508e9ec81f1d375413c53db', 'picturePath': 'default_pfp.png', 'name': 'Samuel Otte', 'location': 'Susposter'}]",[],14:17.0,03:00.8,0,,
64dc7abdf42bbd9057cb22c3,64dc79d2f42bbd9057cb227c,.,image/d3mogg23onjplte1gklu,image/p12g939xxc7nbubletqr,"{'64dc8365f42bbd9057cb2498': True, '64dc183aae207fe84292b040': True, '64db5283d998906b6c2ca48a': True, '64dd03eaf42bbd9057cb3864': True, '64deb2b262f43d93943b87c8': True, '64dc1355ae207fe84292afb7': True, '64e0123662f43d93943c0c36': True, '64deb84562f43d93943b8946': True, '64e24dad62f43d93943c5e58': True, '6507cbf781f1d375413a8332': True, '6507f95781f1d375413aca07': True, '65084c7081f1d375413b38c1': True, '650865a481f1d375413b63f1': True, '6509019181f1d375413ca8fb': True, '651933e7e81df403dee90dd7': True, '653017b70a69ece40ff62298': True, '653540850a69ece40ff70b0d': True, '65387a310a69ece40ff7770c': True, '653e24a83e06c4b204e56f73': True}",[],[],29:01.9,37:52.8,0,,
64dc7bc1f42bbd9057cb2360,64dc74c564fc6f5bdcf522cd,Better than the original ,image/erlknhzfvgvcxuytkzv8,default_pfp.png,"{'64dc74c564fc6f5bdcf522cd': True, '64dbeb81d998906b6c2ca5be': True, '64db5283d998906b6c2ca48a': True, '64dc41edae207fe84292c451': True, '64deb2b262f43d93943b87c8': True, '6507cbf781f1d375413a8332': True, '65089c7f81f1d375413b9ca0': True, '6509019181f1d375413ca8fb': True, '65117a6081f1d375414a0035': True, '65387a310a69ece40ff7770c': True}","[{'text': 'nah your wild fam', 'userId': '64db5283d998906b6c2ca48a', 'picturePath': 'image/nopixg3htlwjtbmi50mw', 'name': 'jake jake', 'location': 'jake'}, {'text': 'how does a mute sign?', 'userId': '64dc41edae207fe84292c451', 'picturePath': 'default_pfp.png', 'name': 'Ed Wardo', 'location': 'Wardo'}]",[],33:21.7,39:11.8,0,,
64dc8123f42bbd9057cb2436,64dc7e56f42bbd9057cb23f0,I AM NOT YOUR BOYFRIEND! I AM NOT YOUR BOYFRIEND!,image/rulm0yksdg5eagtnc0xq,image/urhgz4d59seohoejc30i,"{'64dc183aae207fe84292b040': True, '64db5283d998906b6c2ca48a': True, '64e2a23b62f43d93943c6a88': True, '650865a481f1d375413b63f1': True, '65387a310a69ece40ff7770c': True}",[],[],56:19.3,31:09.8,0,,
64dcbebdf42bbd9057cb29ce,64dcbe3ef42bbd9057cb29ba,tf?,image/ofczmxznndlfdakgmog3,default_pfp.png,"{'64dc183aae207fe84292b040': True, '64dd35e9f5554054a3467c49': True, '650865a481f1d375413b63f1': True, '65387a310a69ece40ff7770c': True}","[{'text': 'u thogh i was feeling u', 'userId': '65272376d5d672158c7897db', 'picturePath': 'default_pfp.png', 'name': 'demetrius hazeton', 'location': 'himothy'}, {'text': 'grrah', 'userId': '651632694aba5b2bd4fd1813', 'picturePath': 'default_pfp.png', 'name': 'PuffPuffIsVeryBadAzz :D ', 'location': 'YFM_FAN'}]",[],19:09.1,38:52.4,0,,
64dcc0f4f42bbd9057cb2a18,64dcc01ef42bbd9057cb2a08,Delusion,image/byksltzvkjb8f5moubif,default_pfp.png,"{'64dcc153f42bbd9057cb2a33': True, '64db5283d998906b6c2ca48a': True, '64dc41edae207fe84292c451': True, '64dd4f41f5554054a3468056': True, '64e2f59762f43d93943c72a2': True, '64f54d6917cb4912c115f435': True, '650865a481f1d375413b63f1': True, '65089c7f81f1d375413b9ca0': True, '6508e9ec81f1d375413c53db': True, '651632694aba5b2bd4fd1813': True, '651c48aa2f19866f09e2ff89': True, '6530312d0a69ece40ff63c44': True, '65387a310a69ece40ff7770c': True}",[],[],28:36.5,38:48.0,0,,
64dcd1bff42bbd9057cb2d0e,64db5283d998906b6c2ca48a,this the family that learned...,image/tijxq9frsrifz8uyfq7f,image/nopixg3htlwjtbmi50mw,"{'64db5283d998906b6c2ca48a': True, '64dc183aae207fe84292b040': True, '64dc41edae207fe84292c451': True, '64dd4f41f5554054a3468056': True, '64dc1b9aae207fe84292b16f': True, '65387a310a69ece40ff7770c': True}","[{'text': ""i don't get it"", 'userId': '64e291c362f43d93943c66cb', 'picturePath': 'default_pfp.png', 'name': 'prod kyoto', 'location': 'prod.kyoto'}]",[],40:15.4,38:38.3,0,,
64dcd80ef42bbd9057cb2dc5,64dcd70af42bbd9057cb2da9,settings,image/hwaxds7rkr5owhpcrcmb,default_pfp.png,"{'64db5283d998906b6c2ca48a': True, '64dc183aae207fe84292b040': True, '64f4724217cb4912c115ebb0': True, '6508e9ec81f1d375413c53db': True, '65387a310a69ece40ff7770c': True}","[{'text': 'huh?', 'userId': '650865a481f1d375413b63f1', 'picturePath': 'default_pfp.png', 'name': 'Kneecapss goofy', 'location': 'Kneecapss'}]",[],07:10.7,38:31.3,0,,
64dcf47ef42bbd9057cb32e2,64dcf3bff42bbd9057cb32c5,laced,image/jgs3oll9rzcavnqnkg3e,image/wbdhkfm96vrntkmqfeos,"{'64dc183aae207fe84292b040': True, '64db5283d998906b6c2ca48a': True, '64dc41edae207fe84292c451': True, '64dd35e9f5554054a3467c49': True, '64e291c362f43d93943c66cb': True, '651a86d62f19866f09e27654': True, '65387a310a69ece40ff7770c': True, '65388d4e0a69ece40ff77b6d': True, '654b1009318aa113d74ae482': True}","[{'text': 'that shit laced', 'userId': '64dc183aae207fe84292b040', 'picturePath': 'image/mclpjxcshtvftsx9snwp', 'name': 'Jeffrey Skinner', 'location': 'Blocksrey'}, {'text': 'LMAO', 'userId': '65089c7f81f1d375413b9ca0', 'picturePath': 'default_pfp.png', 'name': 'buu bop', 'location': 'BuuBop'}, {'text': 'Relatable. ', 'userId': '651a86d62f19866f09e27654', 'picturePath': 'default_pfp.png', 'name': 'Simon Bielicki', 'location': 'BeziRoche'}]",[],08:30.7,44:25.7,0,,
64dcf952f42bbd9057cb344c,64dcf81ef42bbd9057cb340e,hi,image/liuinj8pooclbbeymnyr,image/r8t3mxaivtcrhbncpmjg,"{'64db5283d998906b6c2ca48a': True, '64dcf81ef42bbd9057cb340e': True, '6507f95781f1d375413aca07': True, '651632694aba5b2bd4fd1813': True, '6532679f0a69ece40ff6b2d8': True, '65387a310a69ece40ff7770c': True, '64dbeb81d998906b6c2ca5be': True, '654b1009318aa113d74ae482': True}","[{'text': 'top da morning', 'userId': '64db5283d998906b6c2ca48a', 'picturePath': 'image/nopixg3htlwjtbmi50mw', 'name': 'jake jake', 'location': 'jake'}, {'text': 'yo', 'userId': '64dc183aae207fe84292b040', 'picturePath': 'image/mclpjxcshtvftsx9snwp', 'name': 'Jeffrey Skinner', 'location': 'Blocksrey'}, {'text': 'hey', 'userId': '650865a481f1d375413b63f1', 'picturePath': 'default_pfp.png', 'name': 'Kneecapss goofy', 'location': 'Kneecapss'}, {'text': 'hi', 'userId': '65089c7f81f1d375413b9ca0', 'picturePath': 'default_pfp.png', 'name': 'buu bop', 'location': 'BuuBop'}, {'text': 'hi', 'userId': '651063f081f1d375414821a3', 'picturePath': 'default_pfp.png', 'name': 'Mike Hawk', 'location': 'DA BINKYY'}]",[],29:06.6,45:10.8,0,,
